time_sec,true_posture
1,QIYAM
2,QIYAM
3,QIYAM
4,QIYAM
5,QIYAM
6,QIYAM
7,QIYAM
8,QIYAM
9,QIYAM
10,QIYAM
11,QIYAM
12,RUKU
13,RUKU
14,RUKU
15,QIYAM
16,QIYAM
17,QIYAM
18,QIYAM
19,QIYAM
20,QIYAM
22,SUJUD
23,SUJUD
24,SUJUD
25,TASHAHHUD
26,TASHAHHUD
27,TASHAHHUD
28,TASHAHHUD
29,TASHAHHUD
30,SUJUD
31,SUJUD
32,SUJUD
33,SUJUD
34,TASHAHHUD
35,TASHAHHUD
36,TASHAHHUD
37,TASHAHHUD
39,QIYAM
40,QIYAM
41,QIYAM
42,QIYAM
43,QIYAM
44,QIYAM
45,QIYAM
47,RUKU
48,RUKU
49,RUKU
51,QIYAM
52,QIYAM
53,QIYAM
54,QIYAM
57,SUJUD
58,SUJUD
59,SUJUD
60,SUJUD
61,SUJUD
62,TASHAHHUD
63,TASHAHHUD
64,TASHAHHUD
65,TASHAHHUD
66,TASHAHHUD
67,SUJUD
68,SUJUD









